SaleDate,TotalSales,RunningTotalSales
2010-12-01,58635.56,58635.56
2010-12-02,46207.28,104842.84
2010-12-03,45620.46,150463.3
2010-12-05,31383.95,181847.25
2010-12-06,53860.18,235707.43
2010-12-07,45059.05,280766.48
2010-12-08,44189.84,324956.32
2010-12-09,52532.13,377488.45
2010-12-10,57404.91,434893.36
2010-12-12,17240.92,452134.28
2010-12-13,35379.34,487513.62
2010-12-14,42843.29,530356.91
2010-12-15,29443.69,559800.6
2010-12-16,48334.35,608134.95
2010-12-17,43534.19,651669.14
2010-12-19,7517.31,659186.45
2010-12-20,24741.75,683928.2
2010-12-21,47097.94,731026.14
2010-12-22,6134.57,737160.71
2010-12-23,11796.31,748957.02
2011-01-04,14950.48,763907.5
2011-01-05,-1566.23,762341.27
2011-01-06,37392.74,799734.01
2011-01-07,27233.14,826967.15
2011-01-09,15710.8,842677.95
2011-01-10,24191.64,866869.59
2011-01-11,67817.13,934686.72
2011-01-12,23958.78,958645.5
2011-01-13,20533.54,979179.04
2011-01-14,47377.26,1026556.3
2011-01-16,7116.61,1033672.91
2011-01-17,29256.0,1062928.91
2011-01-18,18680.8,1081609.71
2011-01-19,25585.81,1107195.52
2011-01-20,17995.91,1125191.43
2011-01-21,31978.44,1157169.87
2011-01-23,10285.95,1167455.82
2011-01-24,25555.62,1193011.44
2011-01-25,27971.52,1220982.96
2011-01-26,19493.32,1240476.28
2011-01-27,21092.14,1261568.42
2011-01-28,18567.77,1280136.19
2011-01-30,6456.44,1286592.63
2011-01-31,22364.65,1308957.28
2011-02-01,28433.22,1337390.5
2011-02-02,21048.45,1358438.95
2011-02-03,23344.58,1381783.53
2011-02-04,24994.17,1406777.7
2011-02-06,3457.11,1410234.81
2011-02-07,25525.99,1435760.8
2011-02-08,20728.14,1456488.94
2011-02-09,16692.58,1473181.52
2011-02-10,13427.54,1486609.06
2011-02-11,20387.28,1506996.34
2011-02-13,5535.4,1512531.74
2011-02-14,26222.03,1538753.77
2011-02-15,36842.58,1575596.35
2011-02-16,24730.81,1600327.16
2011-02-17,26361.87,1626689.03
2011-02-18,15928.4,1642617.43
2011-02-20,9578.89,1652196.32
2011-02-21,23807.83,1676004.15
2011-02-22,32292.62,1708296.77
2011-02-23,26792.76,1735089.53
2011-02-24,22655.83,1757745.36
2011-02-25,18029.84,1775775.2
2011-02-27,9491.05,1785266.25
2011-02-28,21753.68,1807019.93
2011-03-01,25471.71,1832491.64
2011-03-02,18296.45,1850788.09
2011-03-03,35842.62,1886630.71
2011-03-04,19474.87,1906105.58
2011-03-06,9596.23,1915701.81
2011-03-07,30525.58,1946227.39
